text;label
iya mknya suami g mau ribet langsung dibwa ketukang service aja dri cht shoppe nya aja bot jdi susah mau komplen tuh g mau ribett jdinya service aja abis 400rb kapok sih beli merek xiaomi pdhl aku beli di official nya tpi ga menjamin bagus pelayanan nya bad bngt bngt;1
tt sama oren ini pro umkm apa pembunuh umkm;1
kak mau nanya boleh ga;0
beli langsung di official store nya yg centang biru aku pesan online aman2 aja awalnya jg ragu;1
dari gambar si mungkin dia beli unit bekas orang kn biasa jg jual unit bekas di shopee justru karena ada shopee sbagai penengah makany buyer jdi aman klo kek gni kan pasti shopee yg handle untuk investigasi dan uang buyer pasti aman jdi jangan judge kenapa g beli di official dll nya;1
mana bisa nikmat hidup klo gk ada uang gimna mau semngt hidup klo kekuatan trbesar adlh uang mau ngapa2in pkek uang;-1
beli d mall ory apa biasa kka;1
kalau sy tergantung elektroniknya apa dlusemisal kulkas dispenser belinya offlineklo hp ya online;1
kurir buat ngantar mah ekspedisi itu namanya;1
solusinya online;1
iya bener;1
gw yang beli hp di shopee aman2 aja bang;1
y bner malah pas corona malah gampang nyari duit dr pda tahun 2025;1
advan;0
segelnya beda wkwk;1
dan satu tambahan siap siap cari pintu belakang paham maksud saya;1
okeee kak makasiiii ;1
bener banget takut banget kalau beli barang mahal di online;1
sama w juga kemarin gtu wkwk angus dh cm 200 rb tp jd kecewa ;-1
betullll;1
semua usaha kecil menengah sangat merasakan kondisi yg tidak stabil pada saat ini;1
tiktokshoptokren bg;0
aku enga sendirian jualan tuh enak 2020kebawah ekonomi stabil skrng muter modal aja susah yg ada utang malah nambah ;1
mohon tiktok di tindak lanjuti sebelim semuanya afliet hilang kepercayan;1
sama kak inem;0
sama kak inem tokoku juga padahal aku masih pemula bgt baru terjual puluhan padahal udah bener kirim barang ssuai gk tau knpa 1 bintang 1 menghancurkan semua;1
bener bangett jaman corona masi rame mentok lock down juga masi ramedibanding normal sekarang pendapatan minus terus malah nombok terus;1
sedekah bukan ke tukang parkir bu tp buat dia males buat kerja tukang parkir sama pengemis sama aja org buka usaha pake modal gede trs tb2 dtg tukang parkir dg modal 2rb beli periwit doang matiin usaha org;1
nilmatin aja ya  yang pnting smngt;1
itulah alasan saya walo gasuka produk tersebut tetep kasi bintang 5 krn saya gamau matiin rejeki orang ;1
toktok terlau banyak aturan;-1
karena banyak nya phk masal otomatis mereka cari cara utk mencari duit salah satu nya dng berjualan klau sj pmrth bisa mnydiakn lpngn pkrjn bd crta;-1
kemaren juga baru beli hp infinix note 50x awalnya mau beli di offline store tapi ternyata barangnya cuman dijual online jadi beli sambil was² takut barang gak sesuai untungnya barang datang dengan aman dan video unboxingnya sampai 30 menit cuman buat ngecek bahwa barangnya aman;1
iklan di gencar kan;0
gw beli di online gk ketipu tuh;1
"ada yg memang blm faham
seharuse pihak totok yg berlaku adil";0
iya ka bener harus dinaikin hrgnya krna admin jg besar;-1
kayak tukang sayur dkampungku berawal jualan sayur pake motor lalu kebeli pikup buat jualan sayur sekarang jualannya pake motor lagi;0
sampai detik ini masih berjalan sgt bersyukur  semoga allah selalu cukupkan rejeki untuk kita smua aamiinn;1
"kalau dulu pabrik  grosir  pasar  konsumen
kalau sekarang pabrik langsung nyasar ke konsumen kak
makanya di online bisa lebih murah jauh dari harga pasar
kalo pemerintah ga di benahi bisa mati perekonomian kak";1
gak juga harga segitu inter 15pro;0
karena di toko ngambil untung gk ngotak;1
plis kalo hp hp ga beraniimending offline nyata;1
pasti gw juga bang kalau beli barang apalagi elektronik pasti beli di toko official nya toko resmi;1
bck k;0
coba jual di kampung2 baru mekarklu di kota pasti dah bnyak saingan;-1
kalo saya alhamdulillah aman karena kalo beli barang mahal selalu pake instant udh banyak kok kejadiannye di fb jga banyak yg sharing yg hp jadi batu bata lah;1
saya hampir setiap hari ada aja pengembalian barang sedih kalau diceritain mah;-1
betull bgtt;0
sama omsemua serba susah sekarang jangan kan dapat untunguntuk bertahan saja sudah syukursemoga keadaan ini bisa berubah lebih baik;-1
untung gk di curipompa;1
kdang d jman skrng bnyak yg pasar mini 24 jam teh buka dan lengkap lgi bnyak jga penjual sayur mobil lengkap jga kyak warung berjalan blum lg d tiktok shop bnyak yg jual cabebawangbahan2 maskan online jga ;1
btw lu beli hp apa bang ;0
gojekgrabshopeedriver yg langsung kirim jam itu jugaa;0
kemajuan jaman kok ngeluhhhhh;-1
bener suamiku jg beli di shopi ip 15plustoko digimap amanah bnget sesuai brg;1
iyaa bener aku jualan fashion sepi pas corona tp jualan kuliner masyaallah rame pol;1
semangat ka smoga kita para pedagang bisa lancar lagi amin;1
yg parah rakyat pindah ke pasar online;-1
sama loh kak wkt korona jualan das des das des abis2 terus sekarang susah bgt yaallah;-1
duit yg ilang akun d bannd aj ga ad fyp;-1
ih iya lupa biasanya hp tuh segede gaban tulisan nya;0
ada yang pernah di posisi ku gk kk aku kirim barang sesuai tapi pas dateng ke pembeli barang nya aneh malahan saya gk jual produk itu samsek dan yang bikin gregetnya yng beli kasih bintang dan komplen marah udah di kasih penjelasan pun aku respon baik malah makin muncak aku suruh retur malah doain yang gk enak di denger ;-1
banyak masuk seller cina;-1
lah ya pasti aman lah digimap kn toko resmi;1
bener banget inem ga adil bnget 23 ga ada gratis ongkir nya;-1
siapatau credit ;0
second nggak mungkin 12jt;0
tiktok jd nya nggk ada kerjasamanya;0
kaka semangat nggebismillah kedepan akan berlimpah rizki terutama rizki dalam bentuk kesehatanpanjang umur dan jg rizki dlm bentuk materiaamiin yra;1
kalo perabotan rumah mah menurutku bakal aman2 aja bang  soalnya pas nympe kan pasti kita cek dlu dan barang nya pun gede2 pasti kita tau lah isinya d ganti  ngga  kalo ip ya rawan bgt ??;1
di bandingpun ga di tanggepkemaren banyak bom com tpi paket semua ketrima setalah di terima langsung bintang 1 ngawur banget;-1
rsanya pgen nyerahsya di semrang jualan nasi rames;-1
tapi dilihat dri boxnya kayanya masih segel deh;0
lohhhh iya looooohhhhhh  3winning ku jugaaaaa;0
biar pada pake promosi iklan berbayar ;0
setuju kak aq de 45 ada 1 pngembalian yg bahkan mereka salah pilih ukuran dan pilih alasan produk salah lngsung jd 3 ;1
toktokayolah tokngono yo ngono ojo ngono;0
bukan muter diatasyang ada ngendap diatasekonomi diatas ngucurin ke bawah hanya buat kebutuhan pokokberarti jumlahnya kecil kucuran ekonomi dari atas;-1
iya kan q selama blnja mau bagus mau jelek ttpnkasih bintang 5kecuali fatal baru q chat seller semangat para seller;1
iya ka betul tapi kalau copee sy masih aktif;0
tok tok emang semena mena;-1
gw sering beli hp di tokped yg penting tau caranya;0
mending semangatin yg punya vt ini aja kakdia yg kena musibah klo punya saya belum sampe;1
honor;0
bck;0
kerenn mbk inem  ini suara hati semua seller;1
tapi gini tuh masih di ulangi kok kak aku pernah juga kek gini dimintai smapel gak boleh oas beli malah di kasihnua sampek sisni bonyok tih barang dan apa akhirnya aku kasih bintang 3 gak trima minta bintang 5 chat di dm ehh pa sudah dibilang jangan di ulangi pas liat live nya kalo paking sama ja masih di ulangi;-1
kejammmm;1
iyaaa beratt bangett;1
sama kaka ;1
2 bulan ga ada orderan… ya allah gimana ini;0
tag ;0
boleh bang berbagi ilmu mohon maaf jangan pakai embel embel duit nya;0
gak ada yang aman bg  kalau seller sama pihak ekspedisi nya amanah ya aman ;1
dr juli ak ;0
iya kak semangatin gih cepat;1
"langsung masuk home screen
ga milih bahasa dulu ga di suruh pilih next dulu";0
apalagi bayarnya pakai payletter ;0
itu tokoh star aja blm;0
saya baru merintis kak mie juweh caruban kabupaten madiun;0
mungkin sudah ditukar sama kurir kan itu udh diganti sama penjualnya;0
alhamdulillah saya jualan rame bahkan punya cabang baru;0
heran aja sih beli barang elektronik online liat dulu itu toko sedaerah kagak kalo kagak lebih baik beli offline sih  saran aja lebih baik beli hp yang bisa kita liat barang nya secara langsung agar menghindari hal yang tidak di inginkan dikira permasalahan nya cuma bisa dari store doang kadang kurir juga kurang amanah pun ada nama nya manusia  intinya kalo beli barang apalagi harga nya jutaan usahakan offline store nya langsung;1
pdhal 12jt udh dpt ip 15;1
berulang x banyak yg komplain gak ada respon toktok;-1
itu di tuker sama ekspedisi nya klau ga ya kurirnya soalnya di vt sebelumnya pesen nya redmi 13x yg datang redmi 12;0
kampung ;-1
bukan dari store nya tapi dari gudangnya ekspedisi nya;1
gw beli tv aja yang datang mati minta retur lama bngt pas jemputnya eh yang dibalikin nya tv itu lagi ga diganti yang baru apes bngt berujung ketukang servis abis 400rb;1
gw jg beli online dan selalu aman aman aja ah android ip asal di official;1
pelanin biar tau kakaknya buka segel bubble wrap lagian disitu kakaknya udh jelas nulis kalo unitnya dikirim yang sama jangan apa² kurir ka kurir reguler itu lebih ketat dari pada kurir instan karna di gudang mereka ada cctv dan perjalanan mereka di trek sama gps kasian loh gajih mereka per paket cuma 2 ribu suka di tuduh tuker paket;-1
"fakta
1 lapangan perkejaan minim
2 banyak pengangguran
3 banyak yg beralih jadi penjual
4 menengah kebawah rata rata uangnya habis di pke judol
5 daya beli masyarakat kurang
6 orang yg bisa survive di sosial media seperti tiktok youtube fb  mereka orang yg harus bersyukur  karena bisa mendapatkan penghasilan";-1
hah demi apa gw salah lapak sorry kak;0
mending jualan di shopee;1
aman selagi di official storenya;1
